_,metricID,instanceId,time,__,___,value,value_decimal
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100331-0300,UNDEFINED,1,100,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100332-0300,UNDEFINED,1,99,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100333-0300,UNDEFINED,1,99,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100334-0300,UNDEFINED,1,99,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100335-0300,UNDEFINED,1,99,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100336-0300,UNDEFINED,1,99,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100337-0300,UNDEFINED,1,98,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100338-0300,UNDEFINED,1,98,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100339-0300,UNDEFINED,1,98,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100340-0300,UNDEFINED,1,98,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100341-0300,UNDEFINED,1,98,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100342-0300,UNDEFINED,1,97,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100343-0300,UNDEFINED,1,97,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100344-0300,UNDEFINED,1,97,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100345-0300,UNDEFINED,1,97,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100346-0300,UNDEFINED,1,97,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100347-0300,UNDEFINED,1,96,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100348-0300,UNDEFINED,1,96,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100349-0300,UNDEFINED,1,96,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100350-0300,UNDEFINED,1,96,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100351-0300,UNDEFINED,1,96,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100352-0300,UNDEFINED,1,95,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100353-0300,UNDEFINED,1,95,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100354-0300,UNDEFINED,1,95,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100355-0300,UNDEFINED,1,95,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100356-0300,UNDEFINED,1,95,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100357-0300,UNDEFINED,1,94,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100358-0300,UNDEFINED,1,94,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100359-0300,UNDEFINED,1,94,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100400-0300,UNDEFINED,1,94,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100401-0300,UNDEFINED,1,94,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100402-0300,UNDEFINED,1,93,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100403-0300,UNDEFINED,1,93,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100404-0300,UNDEFINED,1,93,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100405-0300,UNDEFINED,1,93,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100406-0300,UNDEFINED,1,93,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100407-0300,UNDEFINED,1,92,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100408-0300,UNDEFINED,1,92,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100409-0300,UNDEFINED,1,92,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100410-0300,UNDEFINED,1,92,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100411-0300,UNDEFINED,1,92,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100412-0300,UNDEFINED,1,91,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100413-0300,UNDEFINED,1,91,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100414-0300,UNDEFINED,1,91,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100415-0300,UNDEFINED,1,91,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100416-0300,UNDEFINED,1,91,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100417-0300,UNDEFINED,1,90,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100418-0300,UNDEFINED,1,90,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100419-0300,UNDEFINED,1,90,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100420-0300,UNDEFINED,1,90,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100421-0300,UNDEFINED,1,90,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100422-0300,UNDEFINED,1,89,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100423-0300,UNDEFINED,1,89,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100424-0300,UNDEFINED,1,89,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100425-0300,UNDEFINED,1,89,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100426-0300,UNDEFINED,1,89,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100427-0300,UNDEFINED,1,89,00
1,mvgoBcOiuVlCKbS6QPyDdQ1f2lyEQud4s6NI,MDC_PULS_OXIM_SAT_O2,0,20210518100428-0300,UNDEFINED,1,89,00
